City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Nanortalik,GL,2021-12-26 19:33:24,60.1432,-45.2371,28.44,67,89,6.8
171,Taltal,CL,2021-12-26 19:33:25,-25.4,-70.4833,71.71,68,28,6.4
172,Anadyr,RU,2021-12-26 19:33:25,64.75,177.4833,-21.5,74,20,8.01
173,Rio Grande,BR,2021-12-26 19:33:25,-32.035,-52.0986,84.31,58,0,15.39
174,Salamiyah,SY,2021-12-26 19:33:26,35.0113,37.0532,44.85,66,0,1.83
175,Mancio Lima,BR,2021-12-26 19:33:26,-7.6142,-72.8958,84.27,89,40,3.44
176,Danielskuil,ZA,2021-12-26 19:33:26,-28.1887,23.5395,61.65,75,100,20.69
177,Voznesenye,RU,2021-12-26 19:34:27,61.0106,35.4781,11.61,89,100,10.78
178,Provideniya,RU,2021-12-26 19:34:27,64.3833,-173.3,3.85,90,99,6.76
179,Geraldton,AU,2021-12-26 19:34:27,-28.7667,114.6,70.21,88,100,5.75
180,Rumonge,BI,2021-12-26 19:34:28,-3.9736,29.4386,71.42,84,83,4.36
181,Kirakira,SB,2021-12-26 19:34:28,-10.4544,161.9205,81.09,81,100,1.14
182,Pochutla,MX,2021-12-26 19:34:29,15.7432,-96.4661,89.42,50,0,8.99
183,Lingao,CN,2021-12-26 19:34:29,19.9103,109.6859,61.45,90,100,17.09
184,Lompoc,US,2021-12-26 19:34:29,34.6391,-120.4579,58.57,62,1,9.22
185,La Grande,US,2021-12-26 19:34:29,45.3246,-118.0877,31.57,70,100,8.68
186,Araceli,PH,2021-12-26 19:34:30,10.5529,119.9913,80.96,80,100,21.18
187,Upata,VE,2021-12-26 19:34:30,8.0086,-62.3989,83.44,45,35,3.74
188,Hirara,JP,2021-12-26 19:34:31,24.8,125.2833,61.99,71,100,27.22
189,Tuatapere,NZ,2021-12-26 19:34:31,-46.1333,167.6833,55.81,79,75,6.58
190,Longyearbyen,SJ,2021-12-26 19:34:31,78.2186,15.6401,22.84,63,0,14.97
191,Tabuk,PH,2021-12-26 19:34:32,17.4189,121.4443,67.51,94,100,8.59
192,Shumskiy,RU,2021-12-26 19:34:32,54.8318,99.1328,5.34,89,98,0.58
193,Camacupa,AO,2021-12-26 19:34:32,-12.0167,17.4833,62.69,95,100,2.53
194,Yatou,CN,2021-12-26 19:34:33,37.15,122.3833,23.09,65,60,10.69
195,Garowe,SO,2021-12-26 19:34:33,8.4054,48.4845,69.96,72,2,13.09
196,Masallatah,LY,2021-12-26 19:34:33,32.6167,14.0,61.61,36,82,11.39
197,Bushenyi,UG,2021-12-26 19:34:34,-0.5853,30.2114,59.43,95,77,1.66
198,Solnechnyy,RU,2021-12-26 19:34:34,50.7214,136.6319,-21.84,97,23,2.1
199,Dunhua,CN,2021-12-26 19:34:34,43.3725,128.2425,-5.17,87,87,7.09
200,Oussouye,SN,2021-12-26 19:34:35,12.485,-16.5469,84.38,37,100,5.59
201,Katsuura,JP,2021-12-26 19:34:35,35.1333,140.3,37.42,45,34,8.81
202,Hasaki,JP,2021-12-26 19:34:35,35.7333,140.8333,28.8,38,1,15.01
203,Margate,GB,2021-12-26 19:34:36,51.3813,1.3862,47.97,95,99,1.01
204,Bogashevo,RU,2021-12-26 19:34:36,56.3683,85.1447,8.44,85,0,6.71
205,Teguise,ES,2021-12-26 19:34:36,29.0605,-13.564,64.62,83,75,4.61
206,Narsaq,GL,2021-12-26 19:34:37,60.9167,-46.05,37.62,62,49,9.86
207,Kahului,US,2021-12-26 19:34:37,20.8947,-156.47,74.46,70,20,4.61
208,Clyde River,CA,2021-12-26 19:34:37,70.4692,-68.5914,-5.57,77,95,18.41
209,Kautokeino,NO,2021-12-26 19:34:38,69.0125,23.0412,7.84,94,99,3.67
210,Ayr,GB,2021-12-26 19:34:38,55.4627,-4.6339,39.49,93,75,5.75
211,Christchurch,NZ,2021-12-26 19:32:09,-43.5333,172.6333,71.8,43,100,19.57
212,Miandrivazo,MG,2021-12-26 19:34:38,-19.5167,45.4667,82.78,67,100,3.76
213,Ketchikan,US,2021-12-26 19:34:39,55.3422,-131.6461,17.58,73,1,5.75
214,Malakal,SS,2021-12-26 19:34:39,9.5334,31.6605,81.82,34,100,4.29
215,Hambantota,LK,2021-12-26 19:34:39,6.1241,81.1185,72.19,82,6,11.83
216,Dunmore Town,BS,2021-12-26 19:34:40,25.5,-76.65,74.17,62,0,5.23
217,Hagi,JP,2021-12-26 19:34:40,34.4,131.4167,28.85,63,97,20.8
218,Ponta Delgada,PT,2021-12-26 19:32:59,37.7333,-25.6667,65.12,77,20,21.85
219,Jamsa,FI,2021-12-26 19:34:41,61.8642,25.19,12.92,95,90,7.74
220,Turbat,PK,2021-12-26 19:34:41,26.0023,63.044,70.81,60,8,4.09
221,Constitucion,CL,2021-12-26 19:34:41,-35.3333,-72.4167,70.03,59,100,8.52
222,Diego De Almagro,CL,2021-12-26 19:34:42,-26.3667,-70.05,82.89,27,8,15.19
223,Luderitz,NA,2021-12-26 19:34:42,-26.6481,15.1594,63.93,90,0,1.61
224,Bilma,NE,2021-12-26 19:34:42,18.6853,12.9164,65.28,20,85,4.34
225,Bara,NG,2021-12-26 19:35:43,10.3744,10.7288,76.69,24,1,7.83
226,Svetlogorsk,BY,2021-12-26 19:35:43,52.6333,29.7333,21.67,91,81,6.17
227,Rock Sound,BS,2021-12-26 19:35:43,24.9,-76.2,73.81,59,0,6.93
228,Kalemie,CD,2021-12-26 19:35:44,-5.9475,29.1947,71.17,83,46,2.77
229,Samarai,PG,2021-12-26 19:35:44,-10.6167,150.6667,81.1,79,100,7.31
230,Pitimbu,BR,2021-12-26 19:35:45,-7.4706,-34.8086,84.79,74,100,8.12
231,Platteville,US,2021-12-26 19:35:45,42.7342,-90.4785,42.48,70,1,13.8
232,Lagunas,PE,2021-12-26 19:35:45,-5.2269,-75.6753,91.81,49,99,4.63
233,Knysna,ZA,2021-12-26 19:35:45,-34.0363,23.0471,68.38,96,29,3.24
234,Komsomolskiy,UZ,2021-12-26 19:35:46,40.4272,71.7189,34.52,86,90,6.91
235,Mae Tha,TH,2021-12-26 19:35:46,18.4646,99.1403,67.71,48,0,1.28
236,Abalak,RU,2021-12-26 19:35:47,58.1286,68.5944,-1.98,86,98,11.07
237,Tiznit,MA,2021-12-26 19:35:47,29.5833,-9.5,59.56,91,98,3.98
238,Iskateley,RU,2021-12-26 19:35:47,67.6803,53.1512,6.69,92,93,12.55
239,Bethel,US,2021-12-26 19:35:48,41.3712,-73.414,48.11,63,20,3.0
240,Lufilufi,WS,2021-12-26 19:35:48,-13.8745,-171.5986,82.54,73,100,12.39
241,The Valley,AI,2021-12-26 19:35:48,18.217,-63.0578,80.74,69,40,8.05
242,Sosenskiy,RU,2021-12-26 19:35:49,54.059,35.9623,13.71,88,7,10.27
243,Buraydah,SA,2021-12-26 19:35:49,26.326,43.975,46.85,63,100,7.99
244,Fortuna,US,2021-12-26 19:35:49,40.5982,-124.1573,43.99,96,75,3.0
245,Khatanga,RU,2021-12-26 19:35:49,71.9667,102.5,-33.39,100,88,3.33
246,Arraial Do Cabo,BR,2021-12-26 19:35:50,-22.9661,-42.0278,82.36,73,0,11.5
247,Divnogorsk,RU,2021-12-26 19:35:50,55.9594,92.3619,-4.27,97,100,2.48
248,Cidreira,BR,2021-12-26 19:35:50,-30.1811,-50.2056,76.35,74,26,8.77
249,Dawei,MM,2021-12-26 19:35:51,14.0833,98.2,70.11,87,4,4.34
250,Matara,LK,2021-12-26 19:35:51,5.9485,80.5353,73.58,83,13,5.23
251,Miastko,PL,2021-12-26 19:35:51,54.0028,16.9826,17.01,92,11,3.42
252,Lai,TD,2021-12-26 19:35:52,9.3952,16.2989,79.47,23,41,5.82
253,Wenling,CN,2021-12-26 19:35:52,28.3669,121.36,34.34,55,98,12.21
254,Saint-Augustin,CA,2021-12-26 19:35:52,51.226,-58.6502,29.73,76,32,15.1
255,Tacuarembo,UY,2021-12-26 19:35:53,-31.7333,-55.9833,95.14,10,0,14.47
256,Demirci,TR,2021-12-26 19:35:53,39.0461,28.6589,39.02,86,15,4.03
257,Padang,ID,2021-12-26 19:35:53,-0.9492,100.3543,76.12,90,54,4.5
258,Luwuk,ID,2021-12-26 19:35:54,-0.9516,122.7875,79.29,80,100,2.66
259,Juneau,US,2021-12-26 19:31:46,58.3019,-134.4197,19.22,83,75,0.0
260,Ternate,ID,2021-12-26 19:35:54,0.8,127.4,80.64,82,100,9.55
261,Ugoofaaru,MV,2021-12-26 19:35:54,5.6667,73.0,80.85,69,5,11.63
262,Lethem,GY,2021-12-26 19:35:55,3.3803,-59.7968,90.5,46,75,11.12
263,Khor,RU,2021-12-26 19:35:55,47.8861,134.9464,-28.21,100,100,1.66
264,Galveston,US,2021-12-26 19:35:55,29.3669,-94.9669,82.51,77,75,8.01
265,Chapleau,CA,2021-12-26 19:35:56,47.8405,-83.4034,10.49,52,1,4.61
266,Belinskiy,RU,2021-12-26 19:35:56,52.9647,43.4165,14.36,90,99,16.62
267,Mangrol,IN,2021-12-26 19:35:56,21.1167,70.1167,70.9,70,100,10.2
268,Coahuayana,MX,2021-12-26 19:35:56,18.7333,-103.6833,85.48,57,27,7.67
269,Mount Isa,AU,2021-12-26 19:35:57,-20.7333,139.5,78.57,53,100,8.05
270,Simao,CN,2021-12-26 19:35:57,22.7886,100.9748,48.92,98,15,2.04
271,Oktyabrskoye,RU,2021-12-26 19:35:57,43.0645,44.7417,24.94,93,49,6.71
272,Tres Lagoas,BR,2021-12-26 19:35:58,-20.7511,-51.6783,92.89,22,0,4.38
273,Abnub,EG,2021-12-26 19:35:58,27.2696,31.1511,52.02,47,89,5.93
274,Teya,RU,2021-12-26 19:35:59,60.3778,92.6267,-8.41,100,42,0.98
275,Atlantic City,US,2021-12-26 19:32:17,39.3643,-74.4229,56.32,49,1,13.8
276,Grimshaw,CA,2021-12-26 19:34:00,56.1834,-117.6027,-20.97,69,40,5.75
277,Dudinka,RU,2021-12-26 19:36:59,69.4058,86.1778,-5.91,94,87,14.65
278,Puerto Escondido,MX,2021-12-26 19:36:59,15.85,-97.0667,83.23,69,20,9.22
279,Esperance,AU,2021-12-26 19:37:00,-33.8667,121.9,55.24,81,2,12.24
280,Dalvik,IS,2021-12-26 19:37:00,65.9702,-18.5286,24.73,90,100,2.98
281,Cusuna,HN,2021-12-26 19:37:00,15.85,-85.2333,81.09,59,10,6.4
282,Bossangoa,CF,2021-12-26 19:37:01,6.4926,17.4552,81.34,24,100,4.85
283,Dalby,AU,2021-12-26 19:37:01,-27.1833,151.2667,66.9,85,98,8.61
284,Yanji,CN,2021-12-26 19:37:01,42.9075,129.5078,3.04,66,83,11.95
285,Cabo San Lucas,MX,2021-12-26 19:37:02,22.8909,-109.9124,87.51,60,40,1.01
286,Alekseyevka,RU,2021-12-26 19:37:02,50.6309,38.6903,15.78,88,30,11.18
287,Kawalu,ID,2021-12-26 19:37:03,-7.3817,108.2082,72.82,94,93,1.68
288,Maceio,BR,2021-12-26 19:37:03,-9.6658,-35.7353,81.84,89,90,9.22
289,Westport,US,2021-12-26 19:37:03,41.1415,-73.3579,50.09,58,1,4.0
290,Chama,CH,2021-12-26 19:37:04,47.1821,8.4636,45.27,94,90,3.44
291,Grand-Santi,GF,2021-12-26 19:37:04,4.25,-54.3833,76.6,90,100,2.17
292,Port Blair,IN,2021-12-26 19:37:04,11.6667,92.75,77.56,78,13,9.53
293,Bria,CF,2021-12-26 19:37:05,6.5423,21.9863,79.56,30,73,1.28
294,Aklavik,CA,2021-12-26 19:37:05,68.2191,-135.0107,-3.28,96,100,20.58
