City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Marawi,PH,7.9986,124.2928,68.65,97,35,1.01,heavy intensity rain
147,Kaitangata,NZ,-46.2817,169.8464,55.8,82,100,5.32,overcast clouds
148,Tole,UA,44.7167,33.8167,44.51,67,92,4.14,overcast clouds
149,Strelka,RU,58.0728,93.0344,-3.78,97,72,7.31,broken clouds
150,Teguldet,RU,57.3064,88.1667,23.38,85,98,12.1,overcast clouds
151,Plouzane,FR,48.3833,-4.6167,53.08,82,75,21.85,broken clouds
152,Bethel,US,41.3712,-73.414,23.18,59,0,1.01,clear sky
153,Togul,RU,53.465,85.9128,11.37,98,88,3.27,overcast clouds
154,Miraflores,MX,19.2167,-98.8083,56.03,65,11,2.48,few clouds
155,Saldanha,ZA,-33.0117,17.9442,93.25,73,45,12.84,scattered clouds
156,Olinda,BR,-8.0089,-34.8553,85.73,62,40,10.36,scattered clouds
157,Vieques,PR,18.425,-65.8329,84.0,73,40,13.8,scattered clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,100,23.02,light snow
159,Yenagoa,NG,4.9247,6.2642,86.77,59,94,10.25,light rain
160,Severo-Kurilsk,RU,50.6789,156.125,29.44,82,82,19.55,broken clouds
161,Tecoanapa,MX,16.5167,-98.75,77.52,73,0,3.87,clear sky
162,Srednekolymsk,RU,67.45,153.6833,-18.09,96,99,6.26,overcast clouds
163,Turukhansk,RU,65.8167,87.9833,13.33,92,100,24.61,light snow
164,Ambilobe,MG,-13.2,49.05,78.03,88,100,4.68,moderate rain
165,Erdenet,MN,49.0333,104.0833,-2.24,97,11,3.33,few clouds
166,Maumere,ID,-8.6199,122.2111,80.28,82,68,5.12,broken clouds
167,Kununurra,AU,-15.7667,128.7333,82.38,74,59,9.22,broken clouds
168,Constitucion,CL,-35.3333,-72.4167,67.93,71,38,15.14,scattered clouds
169,Lompoc,US,34.6391,-120.4579,52.57,91,100,3.44,fog
170,Tawang,IN,27.5833,91.8667,35.56,82,71,2.26,broken clouds
171,Livingston,GB,55.9029,-3.5226,43.48,83,40,9.22,scattered clouds
172,Barcelona,ES,41.3888,2.159,59.02,62,0,1.99,clear sky
173,Cedar City,US,37.6775,-113.0619,34.77,75,100,4.61,overcast clouds
174,Nova Olimpia,BR,-14.7972,-57.2881,87.33,63,86,5.41,overcast clouds
175,Vila Velha,BR,-20.3297,-40.2925,78.75,91,100,6.91,overcast clouds
176,Luzon,PH,6.519,126.0941,80.38,80,29,4.92,scattered clouds
177,Devonport,AU,-41.1667,146.35,57.09,92,100,7.18,overcast clouds
178,Santa Rosa,PH,14.3122,121.1114,79.11,82,10,8.16,clear sky
179,Christchurch,NZ,-43.5333,172.6333,61.95,90,40,1.01,scattered clouds
180,Cape Town,ZA,-33.9258,18.4232,92.26,36,0,12.66,clear sky
181,Soubre,CI,5.7856,-6.6083,87.85,50,87,2.86,overcast clouds
182,Guanica,PR,17.9716,-66.908,85.05,58,5,4.0,clear sky
183,Cherskiy,RU,68.75,161.3,-13.47,100,14,5.01,few clouds
184,Hamilton,US,39.1834,-84.5333,20.34,75,0,1.99,clear sky
185,Alofi,NU,-19.0595,-169.9187,73.29,100,96,1.14,overcast clouds
186,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,52,0,10.36,clear sky
187,Muncar,ID,-8.4333,114.3333,77.13,85,100,3.71,overcast clouds
